,First,Second,Third
64,"(79, ('2019 Chevrolet Spark 1LT', 'Chevrolet Impala LT'))","(92, ('2019 Chevrolet Spark 1LT', 'Chevrolet Spark LS'))","(97, ('2019 Chevrolet Spark 1LT', 'Chevrolet Spark LT'))"
65,"(82, ('2019 Chevrolet Spark 2LT', 'Chevrolet Camaro 2LT'))","(92, ('2019 Chevrolet Spark 2LT', 'Chevrolet Spark LS'))","(97, ('2019 Chevrolet Spark 2LT', 'Chevrolet Spark LT'))"
66,"(79, ('2019 Chevrolet Spark ACTIV', 'Chevrolet Spark Active'))","(82, ('2019 Chevrolet Spark ACTIV', 'Chevrolet Spark LS'))","(87, ('2019 Chevrolet Spark ACTIV', 'Chevrolet Spark LT'))"
67,"(90, ('2019 Chevrolet Suburban Premier', 'Chevrolet Suburban K1500 Premier'))","(91, ('2019 Chevrolet Suburban Premier', 'Chevrolet Suburban 1500 Premier'))","(93, ('2019 Chevrolet Suburban Premier', 'Chevrolet Suburban C15 Premier'))"
68,"(85, ('2019 Chevrolet Traverse LT Cloth', 'Chevrolet Traverse LS Fleet'))","(88, ('2019 Chevrolet Traverse LT Cloth', 'Chevrolet Traverse LT'))","(89, ('2019 Chevrolet Traverse LT Cloth', 'Chevrolet Traverse LT Fleet'))"
69,"(72, ('2019 Chevrolet Work Van', 'Chevrolet Spark LS'))","(72, ('2019 Chevrolet Work Van', 'Chevrolet Spark LT'))","(73, ('2019 Chevrolet Work Van', 'Chevrolet Sonic'))"
70,"(75, ('2019 Dodge Charger Scat Pack', 'Dodge Charger SXT'))","(83, ('2019 Dodge Charger Scat Pack', 'Dodge Challenger R/T Scat Pack'))","(92, ('2019 Dodge Charger Scat Pack', 'Dodge Charger R/T Scat Pack'))"
71,"(85, ('2019 Dodge Journey R/T', 'Dodge Journey SE'))","(88, ('2019 Dodge Journey R/T', 'Dodge Journey SXT'))","(91, ('2019 Dodge Journey R/T', 'Dodge Journey GT'))"
72,"(61, ('2019 Dodge Journey SE Value Package', 'Dodge Journey GT'))","(64, ('2019 Dodge Journey SE Value Package', 'Dodge Journey SXT'))","(70, ('2019 Dodge Journey SE Value Package', 'Dodge Journey SE'))"
73,"(65, ('2019 Dodge Limited', 'Ford Explorer Limited'))","(73, ('2019 Dodge Limited', 'Ford Flex Limited'))","(74, ('2019 Dodge Limited', 'Dodge Ram 1500 Limited'))"
74,"(52, ('2019 FIAT 500 Pop', 'Fiat 500 Lounge'))","(72, ('2019 FIAT 500 Pop', 'Fiat 500L Pop'))","(75, ('2019 FIAT 500 Pop', 'Fiat 500 Pop'))"
75,"(50, ('2019 FIAT 500X Pop', 'Fiat 500 Lounge'))","(69, ('2019 FIAT 500X Pop', 'Fiat 500L Pop'))","(72, ('2019 FIAT 500X Pop', 'Fiat 500 Pop'))"
76,"(61, ('2019 Ford Base', 'Ford Escape SE'))","(61, ('2019 Ford Base', 'Ford Taurus SE'))","(64, ('2019 Ford Base', 'Ford Escape S'))"
77,"(88, ('2019 Ford EcoSport SES', 'Ford Ecosport S'))","(91, ('2019 Ford EcoSport SES', 'Ford Ecosport SE'))","(94, ('2019 Ford EcoSport SES', 'Ford Ecosport SES'))"
78,"(75, ('2019 Ford EcoSport Titanium', 'Ford Edge Titanium'))","(81, ('2019 Ford EcoSport Titanium', 'Ford Escape Titanium'))","(95, ('2019 Ford EcoSport Titanium', 'Ford Ecosport Titanium'))"
79,"(81, ('2019 Ford Edge ST', 'Ford Edge Sport'))","(88, ('2019 Ford Edge ST', 'Ford Edge SEL'))","(92, ('2019 Ford Edge ST', 'Ford Edge SE'))"
80,"(88, ('2019 Ford Expedition Max XLT', 'Ford Expedition XL'))","(90, ('2019 Ford Expedition Max XLT', 'Ford Expedition XLT'))","(91, ('2019 Ford Expedition Max XLT', 'Ford Expedition MAX XLT'))"
81,"(89, ('2019 Ford F-150 King Ranch', 'Ford F-250 SD King Ranch'))","(89, ('2019 Ford F-150 King Ranch', 'Ford F-350 SD King Ranch'))","(89, ('2019 Ford F-150 King Ranch', 'Ford F-450 SD King Ranch'))"
82,"(71, ('2019 Ford F-150 LARIAT', 'Ford F-250 SD XLT'))","(71, ('2019 Ford F-150 LARIAT', 'Ford F-350 SD XLT'))","(74, ('2019 Ford F-150 LARIAT', 'Ford F-150'))"
