,First,Second,Third
114,"(60, ('2019 Ford XL', 'Ford Flex SEL'))","(61, ('2019 Ford XL', 'Ford F-250 SD XL'))","(61, ('2019 Ford XL', 'Ford F-350 SD XL'))"
115,"(64, ('2019 Ford XLT', 'Ford Explorer XLT'))","(64, ('2019 Ford XLT', 'Ford F-250 SD XLT'))","(64, ('2019 Ford XLT', 'Ford F-350 SD XLT'))"
116,"(75, ('2019 GMC Sierra 1500 Limited SLE', 'GMC Sierra 3500HD SLE'))","(78, ('2019 GMC Sierra 1500 Limited SLE', 'GMC Sierra 1500 SLT'))","(83, ('2019 GMC Sierra 1500 Limited SLE', 'GMC Sierra 1500 SLE'))"
117,"(90, ('2019 GMC Sierra 2500 SLT', 'GMC Sierra 3500HD SLT'))","(95, ('2019 GMC Sierra 2500 SLT', 'GMC Sierra 1500 SLT'))","(95, ('2019 GMC Sierra 2500 SLT', 'GMC Sierra 2500HD SLT'))"
118,"(52, ('2019 GMC Work Van', 'GMC Terrain SLT'))","(54, ('2019 GMC Work Van', 'GMC Terrain SL'))","(55, ('2019 GMC Work Van', 'GMC Canyon'))"
119,"(67, ('2019 Genesis G80 3.3T Sport', 'Genesis G80'))","(87, ('2019 Genesis G80 3.3T Sport', 'Genesis G80 Sport'))","(90, ('2019 Genesis G80 3.3T Sport', 'Genesis G80T Sport'))"
120,"(73, ('2019 Genesis G80 3.8', 'Genesis G80T Sport'))","(75, ('2019 Genesis G80 3.8', 'Genesis G80 Sport'))","(85, ('2019 Genesis G80 3.8', 'Genesis G80'))"
121,"(81, ('2019 Honda Accord EX-L 2.0T', 'Honda Accord EX'))","(82, ('2019 Honda Accord EX-L 2.0T', 'Honda Accord EX-L Navi'))","(87, ('2019 Honda Accord EX-L 2.0T', 'Honda Accord EX-L'))"
122,"(76, ('2019 Honda Accord Hybrid', 'Honda Accord Sport'))","(77, ('2019 Honda Accord Hybrid', 'Honda Accord'))","(77, ('2019 Honda Accord Hybrid', 'Honda Accord Touring'))"
123,"(76, ('2019 Honda Accord Hybrid EX', 'Honda Accord LX'))","(77, ('2019 Honda Accord Hybrid EX', 'Honda Accord EX-L'))","(81, ('2019 Honda Accord Hybrid EX', 'Honda Accord EX'))"
124,"(74, ('2019 Honda Accord Hybrid EX-L', 'Honda Accord EX-L Navi'))","(77, ('2019 Honda Accord Hybrid EX-L', 'Honda Accord EX'))","(83, ('2019 Honda Accord Hybrid EX-L', 'Honda Accord EX-L'))"
125,"(67, ('2019 Honda Accord Hybrid Touring', 'Honda HR-V Touring'))","(67, ('2019 Honda Accord Hybrid Touring', 'Honda Odyssey Touring'))","(85, ('2019 Honda Accord Hybrid Touring', 'Honda Accord Touring'))"
126,"(69, ('2019 Honda Accord Sport 1.5T', 'Honda Accord'))","(70, ('2019 Honda Accord Sport 1.5T', 'Honda Accord Touring'))","(88, ('2019 Honda Accord Sport 1.5T', 'Honda Accord Sport'))"
127,"(69, ('2019 Honda Accord Sport 2.0T', 'Honda Accord'))","(70, ('2019 Honda Accord Sport 2.0T', 'Honda Accord Touring'))","(88, ('2019 Honda Accord Sport 2.0T', 'Honda Accord Sport'))"
128,"(68, ('2019 Honda Accord Touring 2.0T', 'Honda Civic Touring'))","(70, ('2019 Honda Accord Touring 2.0T', 'Honda Accord Sport'))","(89, ('2019 Honda Accord Touring 2.0T', 'Honda Accord Touring'))"
129,"(81, ('2019 Honda Civic EX-L Navi', 'Honda Civic EX-T'))","(85, ('2019 Honda Civic EX-L Navi', 'Honda Fit EX-L Navi'))","(86, ('2019 Honda Civic EX-L Navi', 'Honda Civic EX-L'))"
130,"(62, ('2019 Honda Clarity Plug-In Hybrid Base', 'Kia Optima Plug-In Hybrid EX'))","(63, ('2019 Honda Clarity Plug-In Hybrid Base', 'Honda Clarity Touring'))","(65, ('2019 Honda Clarity Plug-In Hybrid Base', 'Ford Fusion Plug-In Hybrid SE'))"
131,"(73, ('2019 Honda Passport EX-L', 'Honda Fit EX-L'))","(73, ('2019 Honda Passport EX-L', 'Honda Pilot EX'))","(80, ('2019 Honda Passport EX-L', 'Honda Pilot EX-L'))"
132,"(65, ('2019 Honda Passport Elite', 'Honda Pilot EX'))","(72, ('2019 Honda Passport Elite', 'Honda Odyssey Elite'))","(81, ('2019 Honda Passport Elite', 'Honda Pilot Elite'))"
133,"(67, ('2019 Honda Passport Sport', 'Honda HR-V Sport'))","(74, ('2019 Honda Passport Sport', 'Honda Accord Sport'))","(74, ('2019 Honda Passport Sport', 'Honda Fit Sport'))"
134,"(77, ('2019 Honda Passport Touring', 'Honda Civic Sport Touring'))","(77, ('2019 Honda Passport Touring', 'Honda Pilot EX Touring'))","(79, ('2019 Honda Passport Touring', 'Honda Clarity Touring'))"
135,"(74, ('2019 Hyundai Ioniq Hybrid Limited', 'Hyundai Ioniq Limited Plug-In'))","(75, ('2019 Hyundai Ioniq Hybrid Limited', 'Hyundai Kona Limited'))","(86, ('2019 Hyundai Ioniq Hybrid Limited', 'Hyundai Ioniq Limited'))"
136,"(70, ('2019 Hyundai Ioniq Hybrid SEL', 'Hyundai Kona SEL'))","(71, ('2019 Hyundai Ioniq Hybrid SEL', 'Hyundai Ioniq Limited'))","(83, ('2019 Hyundai Ioniq Hybrid SEL', 'Hyundai Ioniq SEL'))"
137,"(67, ('2019 Hyundai Kona Iron Man', 'Hyundai Sonata Eco'))","(70, ('2019 Hyundai Kona Iron Man', 'Hyundai Kona SEL'))","(72, ('2019 Hyundai Kona Iron Man', 'Hyundai Kona SE'))"
138,"(81, ('2019 Hyundai Sonata Limited 2.0T', 'Hyundai Kona Limited'))","(81, ('2019 Hyundai Sonata Limited 2.0T', 'Hyundai Sonata Limited Plug-In'))","(90, ('2019 Hyundai Sonata Limited 2.0T', 'Hyundai Sonata Limited'))"
139,"(36, ('2019 INFINITI QX50 ESSENTIAL', 'Ford F-250 SD XL'))","(36, ('2019 INFINITI QX50 ESSENTIAL', 'Ford F-350 SD XL'))","(36, ('2019 INFINITI QX50 ESSENTIAL', 'Nissan NV3500 SL'))"
140,"(51, ('2019 INFINITI QX50 Luxe', 'Infiniti Q60 Luxe'))","(51, ('2019 INFINITI QX50 Luxe', 'Infiniti Q70 Luxe'))","(57, ('2019 INFINITI QX50 Luxe', 'Infiniti Q50 Luxe'))"
141,"(46, ('2019 INFINITI QX50 Pure', 'Infiniti Q50 Luxe'))","(47, ('2019 INFINITI QX50 Pure', 'Infiniti Q50 Premium'))","(51, ('2019 INFINITI QX50 Pure', 'Infiniti Q60 Pure'))"
142,"(83, ('2019 Jaguar XJ XJL Portfolio', 'Jaguar XE 35t Portfolio'))","(87, ('2019 Jaguar XJ XJL Portfolio', 'Jaguar XJL Portfolio 50'))","(93, ('2019 Jaguar XJ XJL Portfolio', 'Jaguar XJL Portfolio'))"
143,"(72, ('2019 Jeep Compass Altitude', 'Jeep Compass Sport'))","(78, ('2019 Jeep Compass Altitude', 'Jeep Compass Limited'))","(90, ('2019 Jeep Compass Altitude', 'Jeep Compass Latitude'))"
144,"(81, ('2019 Jeep Grand Cherokee Trackhawk', 'Jeep Cherokee Trailhawk'))","(81, ('2019 Jeep Grand Cherokee Trackhawk', 'Jeep Grand Cherokee SRT'))","(93, ('2019 Jeep Grand Cherokee Trackhawk', 'Jeep Grand Cherokee Trailhawk'))"
145,"(68, ('2019 Kia Niro EV EX Premium', 'Kia Stinger Premium'))","(84, ('2019 Kia Niro EV EX Premium', 'Kia Niro Premium'))","(93, ('2019 Kia Niro EV EX Premium', 'Kia Niro EX Premium'))"
146,"(59, ('2019 Kia Niro Plug-In Hybrid EX', 'Kia Niro EX'))","(73, ('2019 Kia Niro Plug-In Hybrid EX', 'Ford Fusion Plug-In Hybrid SE'))","(85, ('2019 Kia Niro Plug-In Hybrid EX', 'Kia Optima Plug-In Hybrid EX'))"
147,"(64, ('2019 Kia Niro Plug-In Hybrid EX Premium', 'Kia Niro Premium'))","(72, ('2019 Kia Niro Plug-In Hybrid EX Premium', 'Kia Niro EX Premium'))","(74, ('2019 Kia Niro Plug-In Hybrid EX Premium', 'Kia Optima Plug-In Hybrid EX'))"
148,"(59, ('2019 Kia Niro Plug-In Hybrid LX', 'Kia Niro LX'))","(69, ('2019 Kia Niro Plug-In Hybrid LX', 'Ford Fusion Plug-In Hybrid SE'))","(81, ('2019 Kia Niro Plug-In Hybrid LX', 'Kia Optima Plug-In Hybrid EX'))"
149,"(89, ('2019 Kia Sorento S', 'Kia Sorento LX'))","(92, ('2019 Kia Sorento S', 'Kia Sorento L'))","(96, ('2019 Kia Sorento S', 'Kia Sorento SX'))"
150,"(88, ('2019 Lexus ES 300h', 'Lexus GS 300'))","(88, ('2019 Lexus ES 300h', 'Lexus IS 300'))","(92, ('2019 Lexus ES 300h', 'Lexus ES 300H'))"
151,"(73, ('2019 Lexus ES 300h Base', 'Lexus IS 300'))","(75, ('2019 Lexus ES 300h Base', 'Lexus ES 350 S'))","(77, ('2019 Lexus ES 300h Base', 'Lexus ES 300H'))"
152,"(73, ('2019 Lexus ES 300h Luxury', 'Lexus ES 300H'))","(77, ('2019 Lexus ES 300h Luxury', 'Lexus GX 460 Luxury'))","(80, ('2019 Lexus ES 300h Luxury', 'Lexus RX 350L Luxury'))"
153,"(76, ('2019 Lexus RX 350 Base', 'Lexus RC 350'))","(80, ('2019 Lexus RX 350 Base', 'Lexus RX 350L'))","(83, ('2019 Lexus RX 350 Base', 'Lexus RX 350'))"
154,"(73, ('2019 Lexus RX 350L Premium', 'Lexus RX 350L Luxury'))","(76, ('2019 Lexus RX 350L Premium', 'Lexus RX 350L'))","(83, ('2019 Lexus RX 350L Premium', 'Lexus GX 460 Premium'))"
155,"(73, ('2019 Lexus RX 450h Base', 'Lexus RX 350'))","(75, ('2019 Lexus RX 450h Base', 'Lexus RX 450HL'))","(77, ('2019 Lexus RX 450h Base', 'Lexus RX 450H'))"
156,"(77, ('2019 Lexus UX 250h', 'Lexus RX 450H'))","(80, ('2019 Lexus UX 250h', 'Lexus LX 570'))","(80, ('2019 Lexus UX 250h', 'Lexus RX 350'))"
157,"(65, ('2019 Lexus UX 250h Base', 'Lexus RX 450H'))","(67, ('2019 Lexus UX 250h Base', 'Lexus LX 570'))","(67, ('2019 Lexus UX 250h Base', 'Lexus RX 350'))"
158,"(75, ('2019 Lincoln MKZ Hybrid Reserve II', 'Lincoln MKT Reserve'))","(75, ('2019 Lincoln MKZ Hybrid Reserve II', 'Lincoln MKX Reserve'))","(79, ('2019 Lincoln MKZ Hybrid Reserve II', 'Lincoln MKZ Reserve'))"
159,"(90, ('2019 Lincoln MKZ Reserve I', 'Lincoln MKT Reserve'))","(90, ('2019 Lincoln MKZ Reserve I', 'Lincoln MKX Reserve'))","(95, ('2019 Lincoln MKZ Reserve I', 'Lincoln MKZ Reserve'))"
160,"(53, ('2019 MINI Convertible Cooper', 'Mini Cooper JCW'))","(56, ('2019 MINI Convertible Cooper', 'Mini Cooper S'))","(59, ('2019 MINI Convertible Cooper', 'Mini Cooper'))"
161,"(50, ('2019 MINI Hardtop Cooper S', 'Mini Cooper'))","(50, ('2019 MINI Hardtop Cooper S', 'Mini Cooper JCW'))","(59, ('2019 MINI Hardtop Cooper S', 'Mini Cooper S'))"
162,"(43, ('2019 Maserati Levante Base', 'Hyundai Santa Fe Ultimate'))","(43, ('2019 Maserati Levante Base', 'Mercedes Metris Passenger'))","(46, ('2019 Maserati Levante Base', 'GMC Terrain Denali'))"
163,"(82, ('2019 Mazda CX-5 Grand Touring Reserve', 'Mazda CX-3 Grand Touring'))","(82, ('2019 Mazda CX-5 Grand Touring Reserve', 'Mazda CX-9 Grand Touring'))","(86, ('2019 Mazda CX-5 Grand Touring Reserve', 'Mazda CX-5 Grand Touring'))"
164,"(68, ('2019 Mazda CX-5 Signature', 'Mazda MX-5 Miata Touring'))","(72, ('2019 Mazda CX-5 Signature', 'Mazda CX-5 Sport'))","(95, ('2019 Mazda CX-5 Signature', 'Mazda CX-9 Signature'))"
165,"(52, ('2019 Mazda Mazda3 FWD w/Preferred Package', 'Mazda Mazda3 Sport'))","(54, ('2019 Mazda Mazda3 FWD w/Preferred Package', 'Mazda Mazda3 Touring'))","(55, ('2019 Mazda Mazda3 FWD w/Preferred Package', 'Mazda Mazda3 Grand Touring'))"
166,"(54, ('2019 Mazda Mazda3 FWD w/Premium Package', 'Mazda Mazda3 Sport'))","(57, ('2019 Mazda Mazda3 FWD w/Premium Package', 'Mazda Mazda3 Grand Touring'))","(59, ('2019 Mazda Mazda3 FWD w/Premium Package', 'Mazda Mazda3 Touring'))"
167,"(51, ('2019 Mazda Mazda3 FWD w/Select Package', 'Mazda Mazda3 Grand Touring'))","(53, ('2019 Mazda Mazda3 FWD w/Select Package', 'Mazda Mazda3 Touring'))","(59, ('2019 Mazda Mazda3 FWD w/Select Package', 'Mazda Mazda3 Sport'))"
168,"(82, ('2019 Mazda Mazda6 Grand Touring', 'Mazda MX-5 Miata Grand Touring'))","(83, ('2019 Mazda Mazda6 Grand Touring', 'Mazda Mazda3 Touring'))","(96, ('2019 Mazda Mazda6 Grand Touring', 'Mazda Mazda3 Grand Touring'))"
169,"(70, ('2019 Mazda Mazda6 Grand Touring Reserve', 'Mazda Mazda3 Touring'))","(72, ('2019 Mazda Mazda6 Grand Touring Reserve', 'Mazda MX-5 Miata Grand Touring'))","(83, ('2019 Mazda Mazda6 Grand Touring Reserve', 'Mazda Mazda3 Grand Touring'))"
170,"(77, ('2019 Mazda Mazda6 Touring', 'Mazda MX-5 Miata Touring'))","(83, ('2019 Mazda Mazda6 Touring', 'Mazda Mazda3 Grand Touring'))","(95, ('2019 Mazda Mazda6 Touring', 'Mazda Mazda3 Touring'))"
171,"(67, ('2019 Mercedes-Benz CLS 450 Base', 'Mercedes S450'))","(68, ('2019 Mercedes-Benz CLS 450 Base', 'Mercedes CLS550'))","(71, ('2019 Mercedes-Benz CLS 450 Base', 'Mercedes CLS450 4Matic'))"
172,"(71, ('2019 Mercedes-Benz E 300', 'Mercedes GLE350'))","(74, ('2019 Mercedes-Benz E 300', 'Mercedes SLC 300'))","(75, ('2019 Mercedes-Benz E 300', 'Mercedes C300'))"
173,"(79, ('2019 Mercedes-Benz E 300 4MATIC', 'Mercedes GLE350 4MATIC'))","(79, ('2019 Mercedes-Benz E 300 4MATIC', 'Mercedes GLE400 4MATIC'))","(83, ('2019 Mercedes-Benz E 300 4MATIC', 'Mercedes C300 4MATIC'))"
174,"(75, ('2019 Mercedes-Benz GLS 450 Base 4MATIC', 'Mercedes S450 4MATIC'))","(76, ('2019 Mercedes-Benz GLS 450 Base 4MATIC', 'Mercedes GLS550 4MATIC'))","(80, ('2019 Mercedes-Benz GLS 450 Base 4MATIC', 'Mercedes GLS450 4MATIC'))"
175,"(67, ('2019 Mercedes-Benz SL 450 Base', 'Mercedes SL550'))","(68, ('2019 Mercedes-Benz SL 450 Base', 'Mercedes S450'))","(72, ('2019 Mercedes-Benz SL 450 Base', 'Mercedes SL450'))"
176,"(45, ('2019 Mercedes-Benz Sprinter 1500 Standard Roof', 'Mercedes Metris Passenger'))","(46, ('2019 Mercedes-Benz Sprinter 1500 Standard Roof', 'Mercedes SLC 300'))","(48, ('2019 Mercedes-Benz Sprinter 1500 Standard Roof', 'Mercedes Metris Passenger Work'))"
177,"(50, ('2019 Mercedes-Benz Sprinter 2500 High Roof', 'Chevrolet Silverado 1500 High Cntry'))","(50, ('2019 Mercedes-Benz Sprinter 2500 High Roof', 'Chevrolet Silverado 3500HD High Cty'))","(53, ('2019 Mercedes-Benz Sprinter 2500 High Roof', 'Chevrolet Silverado 2500HD High Cty'))"
178,"(45, ('2019 Mercedes-Benz Sprinter 2500 Standard Roof', 'Mercedes Metris Passenger'))","(46, ('2019 Mercedes-Benz Sprinter 2500 Standard Roof', 'Mercedes SLC 300'))","(48, ('2019 Mercedes-Benz Sprinter 2500 Standard Roof', 'Mercedes Metris Passenger Work'))"
179,"(50, ('2019 Mercedes-Benz Sprinter 3500 High Roof', 'Chevrolet Silverado 2500HD High Cty'))","(53, ('2019 Mercedes-Benz Sprinter 3500 High Roof', 'Chevrolet Silverado 3500HD High Cty'))","(53, ('2019 Mercedes-Benz Sprinter 3500 High Roof', 'Mercedes SLC 300'))"
180,"(45, ('2019 Mercedes-Benz Sprinter 3500XD Standard Roof', 'GMC Sierra 3500HD Denali'))","(47, ('2019 Mercedes-Benz Sprinter 3500XD Standard Roof', 'Mercedes Metris Passenger Work'))","(47, ('2019 Mercedes-Benz Sprinter 3500XD Standard Roof', 'Mercedes SLC 300'))"
181,"(86, ('2019 Mitsubishi Outlander PHEV GT', 'Mitsubishi Outlander LE'))","(86, ('2019 Mitsubishi Outlander PHEV GT', 'Mitsubishi Outlander SE'))","(90, ('2019 Mitsubishi Outlander PHEV GT', 'Mitsubishi Outlander GT'))"
182,"(88, ('2019 Mitsubishi Outlander PHEV SEL', 'Mitsubishi Outlander ES'))","(88, ('2019 Mitsubishi Outlander PHEV SEL', 'Mitsubishi Outlander SE'))","(91, ('2019 Mitsubishi Outlander PHEV SEL', 'Mitsubishi Outlander SEL'))"
183,"(95, ('2019 Mitsubishi Outlander Sport', 'Mitsubishi Outlander Sport GT'))","(95, ('2019 Mitsubishi Outlander Sport', 'Mitsubishi Outlander Sport LE'))","(95, ('2019 Mitsubishi Outlander Sport', 'Mitsubishi Outlander Sport SE'))"
184,"(81, ('2019 Nissan Leaf S PLUS', 'Nissan Leaf SV'))","(84, ('2019 Nissan Leaf S PLUS', 'Nissan Leaf S'))","(88, ('2019 Nissan Leaf S PLUS', 'Nissan Leaf SL'))"
185,"(79, ('2019 Nissan Leaf SL PLUS', 'Nissan Leaf SV'))","(81, ('2019 Nissan Leaf SL PLUS', 'Nissan Leaf S'))","(85, ('2019 Nissan Leaf SL PLUS', 'Nissan Leaf SL'))"
186,"(85, ('2019 Nissan Maxima 3.5 SL', 'Nissan Altima 3.5 SL'))","(86, ('2019 Nissan Maxima 3.5 SL', 'Nissan Maxima S'))","(89, ('2019 Nissan Maxima 3.5 SL', 'Nissan Maxima SL'))"
187,"(83, ('2019 Nissan Maxima 3.5 SV', 'Nissan Maxima SR'))","(86, ('2019 Nissan Maxima 3.5 SV', 'Nissan Maxima S'))","(89, ('2019 Nissan Maxima 3.5 SV', 'Nissan Maxima SV'))"
188,"(65, ('2019 Nissan NV Cargo NV1500 S V6', 'Nissan NV3500 SL'))","(67, ('2019 Nissan NV Cargo NV1500 S V6', 'Nissan NV3500 S'))","(70, ('2019 Nissan NV Cargo NV1500 S V6', 'Nissan NV3500 SV'))"
189,"(64, ('2019 Nissan NV Cargo NV3500 HD SV V8', 'Nissan NV3500 SL'))","(65, ('2019 Nissan NV Cargo NV3500 HD SV V8', 'Nissan NV3500 S'))","(68, ('2019 Nissan NV Cargo NV3500 HD SV V8', 'Nissan NV3500 SV'))"
190,"(87, ('2019 Nissan NV200 S', 'Nissan NV3500 SL'))","(87, ('2019 Nissan NV200 S', 'Nissan NV3500 SV'))","(90, ('2019 Nissan NV200 S', 'Nissan NV3500 S'))"
191,"(67, ('2019 Nissan Titan XD Platinum Reserve', 'Nissan Titan XD Pro-4x'))","(86, ('2019 Nissan Titan XD Platinum Reserve', 'Nissan Titan XD Platinum'))","(95, ('2019 Nissan Titan XD Platinum Reserve', 'Nissan Titan Platinum Reserve'))"
192,"(95, ('2019 Nissan Versa 1.6 S+', 'Nissan Versa 1.6 SL'))","(95, ('2019 Nissan Versa 1.6 S+', 'Nissan Versa 1.6 SV'))","(97, ('2019 Nissan Versa 1.6 S+', 'Nissan Versa 1.6 S'))"
193,"(85, ('2019 Nissan Versa S', 'Nissan Versa 1.6 SL'))","(85, ('2019 Nissan Versa S', 'Nissan Versa 1.6 SV'))","(88, ('2019 Nissan Versa S', 'Nissan Versa 1.6 S'))"
194,"(84, ('2019 Nissan Versa SV', 'Nissan Sentra SV'))","(85, ('2019 Nissan Versa SV', 'Nissan Versa 1.6 S'))","(88, ('2019 Nissan Versa SV', 'Nissan Versa 1.6 SV'))"
195,"(82, ('2019 Porsche Cayenne Base', 'Porsche Cayenne GTS'))","(86, ('2019 Porsche Cayenne Base', 'Porsche Cayenne'))","(86, ('2019 Porsche Cayenne Base', 'Porsche Cayenne S'))"
196,"(50, ('2019 RAM 1500 Big Horn', 'Dodge Ram 1500 Laramie Longhorn'))","(55, ('2019 RAM 1500 Big Horn', 'Dodge Ram 1500 Longhorn'))","(75, ('2019 RAM 1500 Big Horn', 'Dodge Ram 1500 Big Horn'))"
197,"(43, ('2019 RAM 1500 Classic Express', 'Dodge Ram 1500 Laramie'))","(45, ('2019 RAM 1500 Classic Express', 'BMW M550i xDrive'))","(61, ('2019 RAM 1500 Classic Express', 'Dodge Ram 1500 Express'))"
198,"(49, ('2019 RAM 1500 Classic SLT', 'GMC Yukon XL 1500 SLT'))","(51, ('2019 RAM 1500 Classic SLT', 'GMC Sierra 1500 SLT'))","(53, ('2019 RAM 1500 Classic SLT', 'Dodge Ram 1500 SLT'))"
199,"(46, ('2019 RAM 1500 Classic Tradesman', 'Dodge Ram 1500 Laramie'))","(46, ('2019 RAM 1500 Classic Tradesman', 'Dodge Ram 1500 Outdoorsman'))","(64, ('2019 RAM 1500 Classic Tradesman', 'Dodge Ram 1500 Tradesman'))"
200,"(44, ('2019 RAM 1500 Classic Warlock', 'Fiat 500 C Abarth'))","(45, ('2019 RAM 1500 Classic Warlock', 'GMC Sierra 1500 Elevation'))","(46, ('2019 RAM 1500 Classic Warlock', 'Fiat 124 Spider Classica'))"
201,"(58, ('2019 RAM 1500 Laramie', 'Dodge Ram 1500 Limited'))","(60, ('2019 RAM 1500 Laramie', 'Dodge Ram 1500 Laramie Longhorn'))","(74, ('2019 RAM 1500 Laramie', 'Dodge Ram 1500 Laramie'))"
202,"(59, ('2019 RAM 1500 Limited', 'Ford F-350 SD Limited'))","(61, ('2019 RAM 1500 Limited', 'Chrysler 300 Limited'))","(74, ('2019 RAM 1500 Limited', 'Dodge Ram 1500 Limited'))"
203,"(45, ('2019 RAM 1500 Rebel', 'Dodge Ram 1500 ST'))","(50, ('2019 RAM 1500 Rebel', 'GMC Sierra 1500 Denali'))","(71, ('2019 RAM 1500 Rebel', 'Dodge Ram 1500 Rebel'))"
204,"(50, ('2019 RAM 1500 Tradesman', 'Fiat 500L Trekking'))","(55, ('2019 RAM 1500 Tradesman', 'Dodge Ram 1500 Outdoorsman'))","(76, ('2019 RAM 1500 Tradesman', 'Dodge Ram 1500 Tradesman'))"
205,"(47, ('2019 RAM 2500 Big Horn', 'BMW 530e iPerformance'))","(50, ('2019 RAM 2500 Big Horn', 'Dodge Ram 1500 Longhorn'))","(70, ('2019 RAM 2500 Big Horn', 'Dodge Ram 1500 Big Horn'))"
206,"(53, ('2019 RAM 2500 Laramie', 'Dodge Ram 1500 Limited'))","(55, ('2019 RAM 2500 Laramie', 'Dodge Ram 1500 Laramie Longhorn'))","(68, ('2019 RAM 2500 Laramie', 'Dodge Ram 1500 Laramie'))"
207,"(61, ('2019 RAM 2500 Limited', 'Chrysler 300 Limited'))","(65, ('2019 RAM 2500 Limited', 'Ford F-250 SD Limited'))","(68, ('2019 RAM 2500 Limited', 'Dodge Ram 1500 Limited'))"
208,"(58, ('2019 RAM 2500 Longhorn', 'Dodge Ram 1500 Laramie Longhorn'))","(61, ('2019 RAM 2500 Longhorn', 'Dodge Ram 1500 Longhorn Sport'))","(70, ('2019 RAM 2500 Longhorn', 'Dodge Ram 1500 Longhorn'))"
209,"(44, ('2019 RAM 2500 Power Wagon', 'GMC Sierra 1500 Elevation'))","(47, ('2019 RAM 2500 Power Wagon', 'Dodge Ram 1500 Longhorn'))","(49, ('2019 RAM 2500 Power Wagon', 'BMW 530e iPerformance'))"
210,"(50, ('2019 RAM 2500 Tradesman', 'Dodge Ram 1500 Outdoorsman'))","(50, ('2019 RAM 2500 Tradesman', 'Fiat 500L Trekking'))","(71, ('2019 RAM 2500 Tradesman', 'Dodge Ram 1500 Tradesman'))"
211,"(47, ('2019 RAM 3500 Big Horn', 'BMW 530e iPerformance'))","(50, ('2019 RAM 3500 Big Horn', 'Dodge Ram 1500 Longhorn'))","(70, ('2019 RAM 3500 Big Horn', 'Dodge Ram 1500 Big Horn'))"
212,"(53, ('2019 RAM 3500 Laramie', 'Dodge Ram 1500 Limited'))","(55, ('2019 RAM 3500 Laramie', 'Dodge Ram 1500 Laramie Longhorn'))","(68, ('2019 RAM 3500 Laramie', 'Dodge Ram 1500 Laramie'))"
213,"(65, ('2019 RAM 3500 Limited', 'Ford F-350 SD Limited'))","(67, ('2019 RAM 3500 Limited', 'Chrysler 300 Limited'))","(68, ('2019 RAM 3500 Limited', 'Dodge Ram 1500 Limited'))"
214,"(53, ('2019 RAM 3500 Lone Star', 'Fiat 500L Lounge'))","(55, ('2019 RAM 3500 Lone Star', 'Fiat 500 Lounge'))","(63, ('2019 RAM 3500 Lone Star', 'Dodge Ram 1500 Lonestar'))"
215,"(58, ('2019 RAM 3500 Longhorn', 'Dodge Ram 1500 Laramie Longhorn'))","(61, ('2019 RAM 3500 Longhorn', 'Dodge Ram 1500 Longhorn Sport'))","(70, ('2019 RAM 3500 Longhorn', 'Dodge Ram 1500 Longhorn'))"
216,"(50, ('2019 RAM 3500 Tradesman', 'Dodge Ram 1500 Outdoorsman'))","(50, ('2019 RAM 3500 Tradesman', 'Fiat 500L Trekking'))","(71, ('2019 RAM 3500 Tradesman', 'Dodge Ram 1500 Tradesman'))"
217,"(38, ('2019 RAM High Roof', 'Mini Cooper S'))","(39, ('2019 RAM High Roof', 'Acura MDX Tech RES'))","(42, ('2019 RAM High Roof', 'Mini Cooper'))"
218,"(43, ('2019 RAM Laramie', 'Dodge Ram 1500 Laramie Longhorn'))","(47, ('2019 RAM Laramie', 'Toyota RAV4 Limited'))","(55, ('2019 RAM Laramie', 'Dodge Ram 1500 Laramie'))"
219,"(47, ('2019 RAM Longhorn', 'Dodge Ram 1500 Laramie Longhorn'))","(49, ('2019 RAM Longhorn', 'Dodge Ram 1500 Longhorn Sport'))","(57, ('2019 RAM Longhorn', 'Dodge Ram 1500 Longhorn'))"
220,"(34, ('2019 RAM Low Roof', 'Mercedes AMG GT R'))","(35, ('2019 RAM Low Roof', 'Mini Cooper'))","(36, ('2019 RAM Low Roof', 'Audi TT RS'))"
221,"(48, ('2019 RAM ProMaster 1500 Base', 'GMC Sierra 1500 SLE'))","(48, ('2019 RAM ProMaster 1500 Base', 'GMC Sierra 1500 SLT'))","(49, ('2019 RAM ProMaster 1500 Base', 'GMC Sierra 1500 Denali'))"
222,"(47, ('2019 RAM ProMaster 1500 Low Roof', 'Dodge Ram Promaster City SLT'))","(48, ('2019 RAM ProMaster 1500 Low Roof', 'GMC Sierra 1500 SLE'))","(48, ('2019 RAM ProMaster 1500 Low Roof', 'GMC Sierra 1500 SLT'))"
223,"(48, ('2019 RAM ProMaster 2500 High Roof', 'Chevrolet Silverado 1500 High Cntry'))","(48, ('2019 RAM ProMaster 2500 High Roof', 'Chevrolet Silverado 3500HD High Cty'))","(51, ('2019 RAM ProMaster 2500 High Roof', 'Chevrolet Silverado 2500HD High Cty'))"
224,"(48, ('2019 RAM ProMaster 3500 High Roof', 'Chevrolet Silverado 1500 High Cntry'))","(48, ('2019 RAM ProMaster 3500 High Roof', 'Chevrolet Silverado 2500HD High Cty'))","(51, ('2019 RAM ProMaster 3500 High Roof', 'Chevrolet Silverado 3500HD High Cty'))"
