name,price,city_mpg,highway_mpg
2019 Honda Civic Sport,22813.666666666668,25.533333333333335,36.233333333333334
2019 Honda Civic Touring,26114.5,30.0,38.0
2019 Honda Clarity Plug-In Hybrid Base,33955.0,0.0,0.0
2019 Honda HR-V EX,25889.5,26.0,31.0
2019 Honda HR-V Sport,23243.666666666668,28.0,34.0
2019 Honda HR-V Touring,29231.5,26.0,31.0
2019 Honda Insight EX,23437.666666666668,55.0,49.0
2019 Honda Insight LX,23905.2,55.0,49.0
2019 Honda Insight Touring,28003.8,51.0,45.0
2019 Honda Odyssey EX,35255.0,19.0,28.0
2019 Honda Odyssey EX-L,38780.0,19.0,28.0
2019 Honda Odyssey Elite,48115.0,19.0,28.0
2019 Honda Odyssey LX,28932.0,19.0,28.0
2019 Honda Passport EX-L,37730.0,19.0,24.0
2019 Honda Passport Elite,47088.0,19.0,24.0
2019 Honda Passport Sport,32173.0,20.0,25.0
2019 Honda Passport Touring,40325.0,20.0,25.0
2019 Honda Pilot LX,33178.333333333336,18.0,26.0
2019 Honda Ridgeline RTL,36915.0,19.0,26.0
2019 Honda Ridgeline RTL-T,37457.0,19.0,26.0
2019 Honda Ridgeline Sport,36385.0,18.0,25.0
2019 Hyundai Accent SE,13999.0,28.0,37.0
2019 Hyundai Accent SEL,15713.0,28.0,38.0
2019 Hyundai Elantra Limited,17845.0,28.0,37.0
2019 Hyundai Ioniq Hybrid Limited,27333.5,55.0,54.0
2019 Hyundai Ioniq Hybrid SEL,24353.333333333332,55.0,54.0
2019 Hyundai Kona Iron Man,26995.0,28.0,32.0
2019 Hyundai Kona SEL,24074.0,27.0,33.0
2019 Hyundai Sonata Limited,26832.5,25.0,33.0
2019 Hyundai Sonata Limited 2.0T,28539.0,23.0,32.0
2019 Hyundai Sonata SEL,20098.0,25.0,33.0
2019 Hyundai Tucson SE,22643.444444444445,23.0,30.0
2019 Hyundai Tucson SEL,19495.0,22.0,28.0
2019 Hyundai Tucson Sport,22463.0,21.0,26.0
2019 Hyundai Tucson Value,26120.0,22.0,25.0
2019 INFINITI QX50 ESSENTIAL,49990.0,24.0,31.0
2019 INFINITI QX50 Luxe,37945.0,24.0,30.0
2019 INFINITI QX50 Pure,35000.0,24.0,31.0
2019 Jaguar XJ XJL Portfolio,76679.0,18.0,27.0
2019 Jeep Cherokee Latitude,19999.0,22.0,31.0
2019 Jeep Compass Altitude,29665.0,0.0,0.0
2019 Jeep Compass Trailhawk,26574.0,0.0,0.0
